,subject1_a,subject1,subject1_b,subject2_a,subject2,subject2_b,object,rule,conf_pca
r835,a,<dbo:country>,f,b,<dbo:headquarter>,f,<dbo:splitFromParty>,"<dbo:splitFromParty>(a, b) <= <dbo:country>(a, f) & <dbo:headquarter>(b, f)",0.003374036
r836,a,<dbo:influencedBy>,f,f,<dbo:notableIdea>,b,<dbo:notableIdea>,"<dbo:notableIdea>(a, b) <= <dbo:influencedBy>(a, f) & <dbo:notableIdea>(f, b)",0.003383921
r837,a,<dbo:formerChoreographer>,f,b,<dbo:formerCoach>,f,<dbo:formerChoreographer>,"<dbo:formerChoreographer>(a, b) <= <dbo:formerChoreographer>(a, f) & <dbo:formerCoach>(b, f)",0.003395925
r838,a,<dbo:bodyStyle>,f,b,<dbo:class>,f,<dbo:relatedMeanOfTransportation>,"<dbo:relatedMeanOfTransportation>(a, b) <= <dbo:bodyStyle>(a, f) & <dbo:class>(b, f)",0.003415517
r839,a,<dbo:computingPlatform>,f,b,<dbo:product>,f,<dbo:developer>,"<dbo:developer>(a, b) <= <dbo:computingPlatform>(a, f) & <dbo:product>(b, f)",0.00347896
r840,a,<dbo:residence>,f,b,<dbo:residence>,f,<dbo:associate>,"<dbo:associate>(a, b) <= <dbo:residence>(a, f) & <dbo:residence>(b, f)",0.00348335
r841,b,<dbo:daylightSavingTimeZone>,f,a,<dbo:region>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:region>(a, f)",0.003490401
r842,a,<dbo:region>,f,b,<dbo:timeZone>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:region>(a, f) & <dbo:timeZone>(b, f)",0.003490401
r843,f,<dbo:city>,a,b,<dbo:region>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:city>(f, a) & <dbo:region>(b, f)",0.003490401
r844,a,<dbo:colour>,f,b,<dbo:colour>,f,<dbo:secretaryGeneral>,"<dbo:secretaryGeneral>(a, b) <= <dbo:colour>(a, f) & <dbo:colour>(b, f)",0.003496503
r845,a,<dbo:country>,e,e,<dbo:leaderName>,b,<dbo:secretaryGeneral>,"<dbo:secretaryGeneral>(a, b) <= <dbo:country>(a, e) & <dbo:leaderName>(e, b)",0.003525264
r846,b,<dbo:birthPlace>,f,a,<dbo:region>,f,<dbo:associate>,"<dbo:associate>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:region>(a, f)",0.003562216
r847,a,<dbo:district>,f,b,<dbo:isPartOf>,f,<dbo:mouthMountain>,"<dbo:mouthMountain>(a, b) <= <dbo:district>(a, f) & <dbo:isPartOf>(b, f)",0.003583555
r848,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:state>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:state>(b, f)",0.003614647
r849,b,<dbo:state>,f,a,<dbo:timeZone>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:state>(b, f) & <dbo:timeZone>(a, f)",0.003614647
r850,b,<dbo:daylightSavingTimeZone>,f,a,<dbo:timeZone>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:timeZone>(a, f)",0.003617826
r851,a,<dbo:spokenIn>,b,,,,<dbo:languageRegulator>,"<dbo:languageRegulator>(a, b) <= <dbo:spokenIn>(a, b)",0.00362757
r852,a,<dbo:region>,f,b,<dbo:state>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:region>(a, f) & <dbo:state>(b, f)",0.003630555
r853,b,<dbo:isPartOf>,f,a,<dbo:mouthRegion>,f,<dbo:mouthMountain>,"<dbo:mouthMountain>(a, b) <= <dbo:isPartOf>(b, f) & <dbo:mouthRegion>(a, f)",0.003669612
r854,a,<dbo:owner>,f,b,<dbo:owner>,f,<dbo:servingRailwayLine>,"<dbo:servingRailwayLine>(a, b) <= <dbo:owner>(a, f) & <dbo:owner>(b, f)",0.003699656
r855,b,<dbo:city>,f,a,<dbo:location>,f,<dbo:affiliation>,"<dbo:affiliation>(a, b) <= <dbo:city>(b, f) & <dbo:location>(a, f)",0.003721973
r856,a,<dbo:launchSite>,f,b,<dbo:launchSite>,f,<dbo:launchSite>,"<dbo:launchSite>(a, b) <= <dbo:launchSite>(a, f) & <dbo:launchSite>(b, f)",0.003727201
r857,b,<dbo:locatedInArea>,f,a,<dbo:region>,f,<dbo:highestPlace>,"<dbo:highestPlace>(a, b) <= <dbo:locatedInArea>(b, f) & <dbo:region>(a, f)",0.003727618
r858,a,<dbo:district>,f,b,<dbo:district>,f,<dbo:river>,"<dbo:river>(a, b) <= <dbo:district>(a, f) & <dbo:district>(b, f)",0.003766852
r859,a,<dbo:city>,f,b,<dbo:city>,f,<dbo:affiliation>,"<dbo:affiliation>(a, b) <= <dbo:city>(a, f) & <dbo:city>(b, f)",0.003772133
r860,e,<dbo:starring>,a,e,<dbo:starring>,b,<dbo:child>,"<dbo:child>(a, b) <= <dbo:starring>(e, a) & <dbo:starring>(e, b)",0.003780786
r861,b,<dbo:growingGrape>,f,a,<dbo:varietals>,f,<dbo:isPartOfWineRegion>,"<dbo:isPartOfWineRegion>(a, b) <= <dbo:growingGrape>(b, f) & <dbo:varietals>(a, f)",0.003793502
r862,e,<dbo:capital>,b,a,<dbo:headquarter>,e,<dbo:destination>,"<dbo:destination>(a, b) <= <dbo:capital>(e, b) & <dbo:headquarter>(a, e)",0.003818008
r863,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:region>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:region>(b, f)",0.003822821
r864,b,<dbo:region>,f,a,<dbo:timeZone>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:region>(b, f) & <dbo:timeZone>(a, f)",0.003822821
r865,a,<dbo:ingredient>,b,,,,<dbo:hasVariant>,"<dbo:hasVariant>(a, b) <= <dbo:ingredient>(a, b)",0.003831418
r866,a,<dbo:formerCoach>,f,b,<dbo:formerCoach>,f,<dbo:choreographer>,"<dbo:choreographer>(a, b) <= <dbo:formerCoach>(a, f) & <dbo:formerCoach>(b, f)",0.003838205
r867,a,<dbo:region>,f,b,<dbo:region>,f,<dbo:governor>,"<dbo:governor>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.003839317
r868,b,<dbo:region>,f,a,<dbo:state>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:region>(b, f) & <dbo:state>(a, f)",0.00386011
r869,a,<dbo:region>,f,b,<dbo:region>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.003866073
r870,e,<dbo:influenced>,a,e,<dbo:notableIdea>,b,<dbo:notableIdea>,"<dbo:notableIdea>(a, b) <= <dbo:influenced>(e, a) & <dbo:notableIdea>(e, b)",0.003878833
r871,b,<dbo:coach>,f,a,<dbo:formerChoreographer>,f,<dbo:currentPartner>,"<dbo:currentPartner>(a, b) <= <dbo:coach>(b, f) & <dbo:formerChoreographer>(a, f)",0.003892944
r872,a,<dbo:influencedBy>,f,b,<dbo:influencedBy>,f,<dbo:notableIdea>,"<dbo:notableIdea>(a, b) <= <dbo:influencedBy>(a, f) & <dbo:influencedBy>(b, f)",0.003894839
r873,a,<dbo:coach>,f,b,<dbo:formerCoach>,f,<dbo:currentPartner>,"<dbo:currentPartner>(a, b) <= <dbo:coach>(a, f) & <dbo:formerCoach>(b, f)",0.003928416
r874,b,<dbo:derivative>,f,a,<dbo:stylisticOrigin>,f,<dbo:derivative>,"<dbo:derivative>(a, b) <= <dbo:derivative>(b, f) & <dbo:stylisticOrigin>(a, f)",0.003950339
r875,a,<dbo:occupation>,b,,,,<http://www.w3.org/2004/02/skos/core#subject>,"<http://www.w3.org/2004/02/skos/core#subject>(a, b) <= <dbo:occupation>(a, b)",0.00396275
r876,b,<dbo:commandStructure>,f,a,<dbo:militaryBranch>,f,<dbo:commandStructure>,"<dbo:commandStructure>(a, b) <= <dbo:commandStructure>(b, f) & <dbo:militaryBranch>(a, f)",0.003988772
r877,b,<dbo:state>,f,a,<dbo:timeZone>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:state>(b, f) & <dbo:timeZone>(a, f)",0.004022277
r878,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:state>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:state>(b, f)",0.004022277
r879,e,<dbo:language>,a,e,<dbo:publisher>,b,<dbo:languageRegulator>,"<dbo:languageRegulator>(a, b) <= <dbo:language>(e, a) & <dbo:publisher>(e, b)",0.004071661
r880,b,<dbo:isPartOf>,f,a,<dbo:region>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:isPartOf>(b, f) & <dbo:region>(a, f)",0.004150832
r881,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:daylightSavingTimeZone>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:daylightSavingTimeZone>(b, f)",0.0041557
r882,a,<dbo:headquarter>,b,,,,<dbo:destination>,"<dbo:destination>(a, b) <= <dbo:headquarter>(a, b)",0.004159957
r883,a,<dbo:locationCity>,f,b,<dbo:locationCity>,f,<dbo:subsidiary>,"<dbo:subsidiary>(a, b) <= <dbo:locationCity>(a, f) & <dbo:locationCity>(b, f)",0.004168959
r884,a,<dbo:choreographer>,f,b,<dbo:formerCoach>,f,<dbo:currentPartner>,"<dbo:currentPartner>(a, b) <= <dbo:choreographer>(a, f) & <dbo:formerCoach>(b, f)",0.004187994
r885,b,<dbo:daylightSavingTimeZone>,f,a,<dbo:timeZone>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:timeZone>(a, f)",0.004192872
r886,f,<dbo:city>,a,b,<dbo:timeZone>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:city>(f, a) & <dbo:timeZone>(b, f)",0.004192872
r887,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:daylightSavingTimeZone>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:daylightSavingTimeZone>(b, f)",0.004219409
r888,f,<dbo:city>,a,b,<dbo:daylightSavingTimeZone>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:city>(f, a) & <dbo:daylightSavingTimeZone>(b, f)",0.004219409
r889,a,<dbo:state>,f,b,<dbo:timeZone>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:state>(a, f) & <dbo:timeZone>(b, f)",0.004225629
r890,e,<dbo:influencedBy>,a,e,<dbo:influencedBy>,b,<dbo:notableIdea>,"<dbo:notableIdea>(a, b) <= <dbo:influencedBy>(e, a) & <dbo:influencedBy>(e, b)",0.004232397
r891,a,<dbo:region>,f,b,<dbo:state>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:region>(a, f) & <dbo:state>(b, f)",0.004241346
r892,a,<dbo:lowestPlace>,f,b,<dbo:lowestPlace>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:lowestPlace>(a, f) & <dbo:lowestPlace>(b, f)",0.004249469
r893,a,<dbo:lowestMountain>,f,b,<dbo:lowestPlace>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestPlace>(b, f)",0.004249469
r894,b,<dbo:lowestMountain>,f,a,<dbo:lowestPlace>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:lowestMountain>(b, f) & <dbo:lowestPlace>(a, f)",0.004249469
r895,a,<dbo:lowestMountain>,f,b,<dbo:lowestMountain>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestMountain>(b, f)",0.004249469
r896,b,<dbo:daylightSavingTimeZone>,f,a,<dbo:state>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:state>(a, f)",0.004252373
r897,b,<dbo:region>,f,a,<dbo:timeZone>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:region>(b, f) & <dbo:timeZone>(a, f)",0.004253927
r898,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:region>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:region>(b, f)",0.004253927
r899,a,<dbo:highestMountain>,f,b,<dbo:locatedInArea>,f,<dbo:highestPlace>,"<dbo:highestPlace>(a, b) <= <dbo:highestMountain>(a, f) & <dbo:locatedInArea>(b, f)",0.004255319
r900,a,<dbo:highestPlace>,f,b,<dbo:locatedInArea>,f,<dbo:highestPlace>,"<dbo:highestPlace>(a, b) <= <dbo:highestPlace>(a, f) & <dbo:locatedInArea>(b, f)",0.004255319
r901,a,<dbo:region>,f,b,<dbo:state>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:region>(a, f) & <dbo:state>(b, f)",0.004255528
r902,a,<dbo:region>,f,b,<dbo:timeZone>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:region>(a, f) & <dbo:timeZone>(b, f)",0.004257378
r903,b,<dbo:deathPlace>,f,a,<dbo:region>,f,<dbo:associate>,"<dbo:associate>(a, b) <= <dbo:deathPlace>(b, f) & <dbo:region>(a, f)",0.004260499
r904,b,<dbo:daylightSavingTimeZone>,f,a,<dbo:region>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:region>(a, f)",0.004284323
r905,b,<dbo:locatedInArea>,f,a,<dbo:region>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:locatedInArea>(b, f) & <dbo:region>(a, f)",0.004322767
r906,b,<dbo:city>,f,a,<dbo:targetAirport>,f,<dbo:hubAirport>,"<dbo:hubAirport>(a, b) <= <dbo:city>(b, f) & <dbo:targetAirport>(a, f)",0.004343695
r907,e,<dbo:militaryBranch>,a,e,<dbo:notableCommander>,b,<dbo:secondCommander>,"<dbo:secondCommander>(a, b) <= <dbo:militaryBranch>(e, a) & <dbo:notableCommander>(e, b)",0.004379562
r908,b,<dbo:otherParty>,f,a,<dbo:party>,f,<dbo:primeMinister>,"<dbo:primeMinister>(a, b) <= <dbo:otherParty>(b, f) & <dbo:party>(a, f)",0.004457348
r909,e,<dbo:showJudge>,a,e,<dbo:showJudge>,b,<dbo:showJudge>,"<dbo:showJudge>(a, b) <= <dbo:showJudge>(e, a) & <dbo:showJudge>(e, b)",0.004466887
r910,f,<dbo:leaderParty>,b,a,<dbo:location>,f,<dbo:politicalPartyInLegislature>,"<dbo:politicalPartyInLegislature>(a, b) <= <dbo:leaderParty>(f, b) & <dbo:location>(a, f)",0.004481501
r911,a,<dbo:residence>,f,b,<dbo:residence>,f,<dbo:incumbent>,"<dbo:incumbent>(a, b) <= <dbo:residence>(a, f) & <dbo:residence>(b, f)",0.004482478
r912,b,<dbo:region>,f,a,<dbo:state>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:region>(b, f) & <dbo:state>(a, f)",0.004509941
r913,a,<dbo:monarch>,f,b,<dbo:monarch>,f,<dbo:primeMinister>,"<dbo:primeMinister>(a, b) <= <dbo:monarch>(a, f) & <dbo:monarch>(b, f)",0.004546151
r914,a,<dbo:region>,f,b,<dbo:region>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.004592341
r915,a,<dbo:monarch>,f,b,<dbo:monarch>,f,<dbo:associate>,"<dbo:associate>(a, b) <= <dbo:monarch>(a, f) & <dbo:monarch>(b, f)",0.004657582
r916,a,<dbo:state>,b,,,,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:state>(a, b)",0.004658385
r917,a,<dbo:starring>,b,,,,<dbo:editing>,"<dbo:editing>(a, b) <= <dbo:starring>(a, b)",0.004670528
r918,a,<dbo:automobilePlatform>,f,b,<dbo:automobilePlatform>,f,<dbo:variantOf>,"<dbo:variantOf>(a, b) <= <dbo:automobilePlatform>(a, f) & <dbo:automobilePlatform>(b, f)",0.004671442
r919,a,<dbo:residence>,f,b,<dbo:residence>,f,<dbo:currentPartner>,"<dbo:currentPartner>(a, b) <= <dbo:residence>(a, f) & <dbo:residence>(b, f)",0.004688362
r920,b,<dbo:state>,f,a,<dbo:timeZone>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:state>(b, f) & <dbo:timeZone>(a, f)",0.004716981
r921,b,<dbo:region>,f,a,<dbo:timeZone>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:region>(b, f) & <dbo:timeZone>(a, f)",0.004716981
r922,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:state>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:state>(b, f)",0.004746835
r923,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:region>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:region>(b, f)",0.004746835
r924,b,<dbo:isPartOf>,a,,,,<dbo:capital>,"<dbo:capital>(a, b) <= <dbo:isPartOf>(b, a)",0.004750078
r925,a,<dbo:type>,f,b,<dbo:type>,f,<dbo:isPartOfWineRegion>,"<dbo:isPartOfWineRegion>(a, b) <= <dbo:type>(a, f) & <dbo:type>(b, f)",0.004773882
r926,b,<dbo:state>,f,a,<dbo:timeZone>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:state>(b, f) & <dbo:timeZone>(a, f)",0.00481202
r927,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:state>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:state>(b, f)",0.00481202
r928,b,<dbo:birthPlace>,a,,,,<dbo:saint>,"<dbo:saint>(a, b) <= <dbo:birthPlace>(b, a)",0.004813818
r929,a,<dbo:formerChoreographer>,f,b,<dbo:formerCoach>,f,<dbo:formerCoach>,"<dbo:formerCoach>(a, b) <= <dbo:formerChoreographer>(a, f) & <dbo:formerCoach>(b, f)",0.004821389
r930,a,<dbo:chancellor>,f,b,<dbo:chancellor>,f,<dbo:viceChancellor>,"<dbo:viceChancellor>(a, b) <= <dbo:chancellor>(a, f) & <dbo:chancellor>(b, f)",0.004846527
r931,b,<dbo:birthPlace>,f,a,<dbo:headquarter>,f,<dbo:secretaryGeneral>,"<dbo:secretaryGeneral>(a, b) <= <dbo:birthPlace>(b, f) & <dbo:headquarter>(a, f)",0.004854369
r932,a,<dbo:region>,f,b,<dbo:region>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.004894549
r933,a,<dbo:place>,f,b,<dbo:place>,f,<dbo:isPartOfMilitaryConflict>,"<dbo:isPartOfMilitaryConflict>(a, b) <= <dbo:place>(a, f) & <dbo:place>(b, f)",0.004918678
r934,b,<dbo:locatedInArea>,f,a,<dbo:state>,f,<dbo:highestPlace>,"<dbo:highestPlace>(a, b) <= <dbo:locatedInArea>(b, f) & <dbo:state>(a, f)",0.004939396
r935,a,<dbo:region>,f,b,<dbo:timeZone>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:region>(a, f) & <dbo:timeZone>(b, f)",0.004941599
r936,a,<dbo:deathPlace>,b,,,,<dbo:majorShrine>,"<dbo:majorShrine>(a, b) <= <dbo:deathPlace>(a, b)",0.004945487
r937,f,<dbo:city>,a,b,<dbo:state>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:city>(f, a) & <dbo:state>(b, f)",0.004950495
r938,b,<dbo:daylightSavingTimeZone>,f,a,<dbo:region>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:region>(a, f)",0.004972875
r939,a,<dbo:region>,f,b,<dbo:region>,f,<dbo:highestMountain>,"<dbo:highestMountain>(a, b) <= <dbo:region>(a, f) & <dbo:region>(b, f)",0.004975124
r940,a,<dbo:europeanAffiliation>,f,b,<dbo:europeanAffiliation>,f,<dbo:nationalAffiliation>,"<dbo:nationalAffiliation>(a, b) <= <dbo:europeanAffiliation>(a, f) & <dbo:europeanAffiliation>(b, f)",0.004985755
r941,a,<dbo:state>,f,b,<dbo:timeZone>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:state>(a, f) & <dbo:timeZone>(b, f)",0.004999194
r942,a,<dbo:country>,f,b,<dbo:headquarter>,f,<dbo:secretaryGeneral>,"<dbo:secretaryGeneral>(a, b) <= <dbo:country>(a, f) & <dbo:headquarter>(b, f)",0.005
r943,b,<dbo:daylightSavingTimeZone>,f,a,<dbo:timeZone>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:timeZone>(a, f)",0.005020673
r944,b,<dbo:daylightSavingTimeZone>,f,a,<dbo:state>,f,<dbo:highestRegion>,"<dbo:highestRegion>(a, b) <= <dbo:daylightSavingTimeZone>(b, f) & <dbo:state>(a, f)",0.005030834
r945,a,<dbo:internationalAffiliation>,f,b,<dbo:internationalAffiliation>,f,<dbo:splitFromParty>,"<dbo:splitFromParty>(a, b) <= <dbo:internationalAffiliation>(a, f) & <dbo:internationalAffiliation>(b, f)",0.005039597
r946,a,<dbo:district>,f,b,<dbo:location>,f,<dbo:lowestPlace>,"<dbo:lowestPlace>(a, b) <= <dbo:district>(a, f) & <dbo:location>(b, f)",0.005063291
r947,b,<dbo:region>,f,a,<dbo:timeZone>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:region>(b, f) & <dbo:timeZone>(a, f)",0.005089152
r948,a,<dbo:daylightSavingTimeZone>,f,b,<dbo:region>,f,<dbo:municipality>,"<dbo:municipality>(a, b) <= <dbo:daylightSavingTimeZone>(a, f) & <dbo:region>(b, f)",0.005089152
r949,b,<dbo:origin>,f,a,<dbo:state>,f,<dbo:river>,"<dbo:river>(a, b) <= <dbo:origin>(b, f) & <dbo:state>(a, f)",0.005104935
r950,a,<dbo:coach>,f,b,<dbo:formerCoach>,f,<dbo:choreographer>,"<dbo:choreographer>(a, b) <= <dbo:coach>(a, f) & <dbo:formerCoach>(b, f)",0.005119454
r951,a,<dbo:country>,f,f,<dbo:leaderName>,b,<dbo:secondCommander>,"<dbo:secondCommander>(a, b) <= <dbo:country>(a, f) & <dbo:leaderName>(f, b)",0.005119454
r952,a,<dbo:formerCoach>,f,b,<dbo:formerCoach>,f,<dbo:coach>,"<dbo:coach>(a, b) <= <dbo:formerCoach>(a, f) & <dbo:formerCoach>(b, f)",0.005159705
r953,a,<dbo:hubAirport>,f,b,<dbo:targetAirport>,f,<dbo:alliance>,"<dbo:alliance>(a, b) <= <dbo:hubAirport>(a, f) & <dbo:targetAirport>(b, f)",0.005163511
r954,f,<dbo:influenced>,b,a,<dbo:influencedBy>,f,<dbo:notableIdea>,"<dbo:notableIdea>(a, b) <= <dbo:influenced>(f, b) & <dbo:influencedBy>(a, f)",0.005178908
r955,e,<dbo:notableWork>,a,e,<dbo:notableWork>,b,<dbo:notableWork>,"<dbo:notableWork>(a, b) <= <dbo:notableWork>(e, a) & <dbo:notableWork>(e, b)",0.005197669
r956,f,<dbo:city>,a,b,<dbo:region>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:city>(f, a) & <dbo:region>(b, f)",0.005235602
r957,a,<dbo:lowestMountain>,f,b,<dbo:lowestPlace>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestPlace>(b, f)",0.005241701
r958,b,<dbo:lowestMountain>,f,a,<dbo:lowestPlace>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:lowestMountain>(b, f) & <dbo:lowestPlace>(a, f)",0.005241701
r959,a,<dbo:lowestPlace>,f,b,<dbo:lowestPlace>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:lowestPlace>(a, f) & <dbo:lowestPlace>(b, f)",0.005241701
r960,a,<dbo:lowestMountain>,f,b,<dbo:lowestMountain>,f,<dbo:governmentRegion>,"<dbo:governmentRegion>(a, b) <= <dbo:lowestMountain>(a, f) & <dbo:lowestMountain>(b, f)",0.005241701
r961,a,<dbo:owningCompany>,f,b,<dbo:parentCompany>,f,<dbo:owningCompany>,"<dbo:owningCompany>(a, b) <= <dbo:owningCompany>(a, f) & <dbo:parentCompany>(b, f)",0.005267404
r962,a,<dbo:stylisticOrigin>,b,,,,<dbo:musicFusionGenre>,"<dbo:musicFusionGenre>(a, b) <= <dbo:stylisticOrigin>(a, b)",0.005319149
r963,a,<dbo:otherParty>,f,b,<dbo:party>,f,<dbo:vicePresident>,"<dbo:vicePresident>(a, b) <= <dbo:otherParty>(a, f) & <dbo:party>(b, f)",0.005324298
r964,a,<dbo:formerCoach>,f,b,<dbo:formerCoach>,f,<dbo:formerCoach>,"<dbo:formerCoach>(a, b) <= <dbo:formerCoach>(a, f) & <dbo:formerCoach>(b, f)",0.005575073
r965,a,<dbo:influencedBy>,f,f,<dbo:philosophicalSchool>,b,<dbo:era>,"<dbo:era>(a, b) <= <dbo:influencedBy>(a, f) & <dbo:philosophicalSchool>(f, b)",0.00558109
r966,a,<dbo:location>,f,b,<dbo:type>,f,<dbo:isPartOfWineRegion>,"<dbo:isPartOfWineRegion>(a, b) <= <dbo:location>(a, f) & <dbo:type>(b, f)",0.005636225
r967,a,<dbo:mainInterest>,f,b,<dbo:mainInterest>,f,<dbo:notableIdea>,"<dbo:notableIdea>(a, b) <= <dbo:mainInterest>(a, f) & <dbo:mainInterest>(b, f)",0.00565971
r968,a,<dbo:region>,f,b,<dbo:residence>,f,<dbo:associate>,"<dbo:associate>(a, b) <= <dbo:region>(a, f) & <dbo:residence>(b, f)",0.005681818
r969,a,<dbo:followingEvent>,f,b,<dbo:followingEvent>,f,<dbo:followingEvent>,"<dbo:followingEvent>(a, b) <= <dbo:followingEvent>(a, f) & <dbo:followingEvent>(b, f)",0.005683775
r970,a,<dbo:affiliation>,f,b,<dbo:otherParty>,f,<dbo:firstLeader>,"<dbo:firstLeader>(a, b) <= <dbo:affiliation>(a, f) & <dbo:otherParty>(b, f)",0.005686988
r971,e,<dbo:birthPlace>,b,e,<dbo:party>,a,<dbo:nationalAffiliation>,"<dbo:nationalAffiliation>(a, b) <= <dbo:birthPlace>(e, b) & <dbo:party>(e, a)",0.005691057
r972,b,<dbo:region>,f,a,<dbo:residence>,f,<dbo:governor>,"<dbo:governor>(a, b) <= <dbo:region>(b, f) & <dbo:residence>(a, f)",0.005712654
r973,a,<dbo:locatedInArea>,f,b,<dbo:mouthCountry>,f,<dbo:crosses>,"<dbo:crosses>(a, b) <= <dbo:locatedInArea>(a, f) & <dbo:mouthCountry>(b, f)",0.005730051
r974,b,<dbo:foundedBy>,f,a,<dbo:keyPerson>,f,<dbo:subsidiary>,"<dbo:subsidiary>(a, b) <= <dbo:foundedBy>(b, f) & <dbo:keyPerson>(a, f)",0.005748044
